group,ticker,company_name,fiscal_yearquarter,earnings_date,ret_1day_pct,ret_1daypost_pct,ret_2day_pct,ret_3day_pct,ret_5day_pct
Group 3,ADBE,Adobe,2017q2,2017-06-20,1.15,2.44,3.62,4.71,5.17
Group 3,ADBE,Adobe,2017q3,2017-09-19,0.42,-4.33,-3.93,-3.33,-4.13
Group 3,ADBE,Adobe,2017q4,2017-12-14,-0.6,0.64,0.04,2.47,0.67
Group 3,ADBE,Adobe,2018q1,2018-03-15,0.42,2.81,3.24,3.09,6.25
Group 3,ADBE,Adobe,2018q2,2018-06-14,0.51,-2.27,-1.78,-0.04,0.41
Group 3,ADBE,Adobe,2018q3,2018-09-13,-0.16,2.21,2.04,2.26,0.87
Group 3,MAR,Marriott International,2016q2,2016-04-27,2.24,1.67,3.95,3.63,4.58
Group 3,MAR,Marriott International,2016q3,2016-07-27,-1.45,1.24,-0.23,0.25,-0.26
Group 3,MAR,Marriott International,2016q4,2016-11-07,0.05,2.31,2.36,3.03,2.16
Group 3,MAR,Marriott International,2017q1,2017-02-15,1.31,0.1,1.41,1.61,-0.82
Group 3,MAR,Marriott International,2017q2,2017-05-08,-0.62,6.46,5.8,5.37,5.72
Group 3,MAR,Marriott International,2017q3,2017-08-07,0.95,-1.81,-0.88,0.22,-2.49
Group 3,MAR,Marriott International,2017q4,2017-11-07,-0.71,-0.89,-1.59,-1.45,-0.96
Group 3,MAR,Marriott International,2018q1,2018-02-14,1.86,-3.83,-2.05,-1.27,-1.29
Group 3,MAR,Marriott International,2018q2,2018-05-08,1.91,-1.87,0.0,0.17,0.54
Group 3,MAR,Marriott International,2018q3,2018-08-06,0.46,-3.98,-3.53,-4.55,-7.29
Group 3,F,Ford Motor Company,2016q2,2016-04-28,4.0,-3.32,0.56,0.73,0.21
Group 3,F,Ford Motor Company,2016q3,2016-07-28,-8.33,-0.66,-8.93,-8.95,-13.29
Group 3,F,Ford Motor Company,2016q4,2016-10-27,-0.78,0.09,-0.69,-0.17,-0.47
Group 3,F,Ford Motor Company,2017q1,2017-01-26,-3.17,1.13,-2.07,-1.47,-1.88
Group 3,F,Ford Motor Company,2017q2,2017-04-27,-1.12,0.26,-0.86,0.19,-4.83
Group 3,F,Ford Motor Company,2017q3,2017-07-26,-1.85,1.29,-0.58,-1.1,-0.56
Group 3,F,Ford Motor Company,2017q4,2017-10-26,1.76,-2.47,-0.75,-1.44,0.42
Group 3,F,Ford Motor Company,2018q1,2018-01-24,0.84,-3.99,-3.18,-3.92,-5.61
Group 3,F,Ford Motor Company,2018q2,2018-04-25,1.29,1.98,3.3,3.72,2.68
Group 3,F,Ford Motor Company,2018q3,2018-07-25,-1.3,-5.83,-7.06,-6.35,-3.39
